yorum,hiz,servis,lezzet,Label
Hayatimda yedigim en kotu sushi. Kokmus balik. Eksik sayi. Sikayet ettim umurlarinda bile olmadi. Sakin siparis vermeyin!,1,1,1,negatif
Başarılı.,8,10,10,pozitif
Hızlı ve güzeldi ayrıca ikramlar için teşekkür ederim.,10,10,10,pozitif
"Soslu karidesin sosu yaninda degil icindeydi, sake sashimida 0 yesillik vardi.",9,6,8,pozitif
"İkidir copstick getirmiyorlar, çatal kullanın siz türksünüz diyorlar.",5,5,5,nötr
"Tavuklu noodle da havuc, soya filizi ve sogan yoktu? Sadece tavik ve noodle vardi yani? Sacma? Malzemesiz yemek nasil gonderiyorsunuz?",10,8,2,nötr
"Son siparişimde 2 tane chopstick istememe ve yeşili korumak amaçlı başka servis istemediğim halde notlarımın hiç okunmamış olduğunu gördüm. 2. Chopstick gönderilmemişti ama diğer her şey konulmuştu. Üstelik lezzette gün be gün düşüş kaydediyorlar, tercihlerimizi değiştirmeye zorluyor restoran bizi :(.",8,4,4,nötr
Tavuklu noodle da soya filizi ve havuc yoktu? 3 parca tavukla sade noodle yedim anlicaginiz yani madem tek malzemeyle yapacaksiniz haber verip iptal ettirebilirsiniz cunku makarna yemekten cok farksizdi. Siparisim cok hizli geldi kurye beye cok tesekkur ederiz.,10,10,5,pozitif
Herşey çok güzeldi.,10,10,10,pozitif
Ihr seid super :).,10,8,8,pozitif
Kotuydu.,6,7,4,nötr
Nuddleın hiç lezzeti yoktu.,9,9,3,pozitif
Başarılı.,10,10,10,pozitif
"Tavuk hiçbiryerde yediğim gibi çıtır değildi, yumuşacık olmuştu ve lezzetsizdi. Sushiler deseniz hayal kırıklığı yarattı. Bir daha maalesef sipariş vermem.",8,8,3,nötr
Islak mendil ve peçete olmaması dışında her şey çok güzeldi.,8,7,10,pozitif
"Hata yapıyorlar, istediğiniz siparişi getiremiyorlarr. Sakın burdan sipariş vermeyin.",1,1,1,negatif
Karidesli noodle spariş vermistim sade noodle geldi.,1,1,1,negatif
Hiç beklediğim gibi gelmedi hiçbirşey. Ayrıca çorba siparişinde neden kaşık konmadığını anlayamıyorum. Kendinizi geliştirmeniz dileğimle.,8,7,6,pozitif
Her zaman hızlı ve lezzetli. Çok teşekkürler.,10,10,10,pozitif
Sos olması gerekenden çok fazla ekşi biraz azaltılması lazım. Onun haricinde başarılı.,10,10,5,pozitif
Cok iyi.,10,10,10,pozitif
Ortalamaydı.,5,7,7,nötr
"Müthiş lezzet, her zaman aynı!",10,10,10,pozitif
Dynamit shrimps her zamankinden cok farklıydı sosunun tadı farklıydı.,8,6,5,nötr
Gece açık olması bile nimet.,8,9,8,pozitif
Karidesli eristese karides yoktu neredeyse ilk defa yaptiniz ama hos degildi. Suşiler herzamanki gibi harika.,10,10,10,pozitif
"Lezzet ve kalitede çok düşüş var, fiyatlarda ise artış. Son siparişimdi.",8,9,5,pozitif
Temiz ve lezzetli.,9,9,9,pozitif
Fena degil iste.,8,9,7,pozitif
Doydum.,10,10,10,pozitif
Favori mekanım her zamanki gibi üstüne ekliyorlar lezzetin.,10,10,10,pozitif
Guzel.,8,9,8,pozitif
"Bir süredir sipariş vermiyordum, hayal kırıklığı değil ama noodle gerçekten çok yavandı.",7,8,5,nötr
Rezalet.,1,1,1,negatif
Etli noodle süper.,10,10,10,pozitif
Wonton corbasi mukemmel.,9,10,10,pozitif
Çok başarılı her zamanki gibi.,10,10,10,pozitif
Basariliydi.,9,10,9,pozitif
İt used to be more fresh.,10,9,7,pozitif
Puani neden dusuk anlamiyorum memnun kalmadigim siparisim yok.,10,10,10,pozitif
Lezzetli.,10,10,10,pozitif
Iyiydi.,8,8,8,pozitif
Her zaman harika.,9,9,9,pozitif
"Sushiler beklemişti, kesinlikle taze değildi.",9,9,5,pozitif
20-30 dk diye yazıp her seferinde en az 50 dk da getiriyorlar.,4,9,8,pozitif
Sevdim baya.,10,10,10,pozitif
"Bir bucuk saatte geldi, dolayisiyla soguktu. Pisman olduk.",1,1,1,negatif
Tadı çok kötüydü.,9,3,1,nötr
Kurye çok hızlıydı teşekkürler.,9,10,8,pozitif
50 dk da geldi. Noodle notlarda belirtmeme ragmen malzemesizdi. Havuclu noodle yedim. Fiyat kalite performansi berbat. Bir daha asla siparis etmeyiz.,1,7,1,negatif
Yemekler acayip iyi de azıcık dikkatli olsalar daha iyi olur.,10,7,10,pozitif
"Sirkeli sos istememiştim ama gelmiş. Erişteler eskiye göre daha ince ve az pişmişti, sebzeler de buhardan erimiş gibi olmuşlardı.",10,10,7,pozitif
Tavuk disinda sebze nanima malzeme yoktu her zaman alirim bu sefer malzeme unutulmus.,8,5,8,pozitif
Hersey süper! Kann ich uneingeschrnkt weiterempfehlen! Schnelle lieferung! Schmeckt auch wie bei uns!,10,10,10,pozitif
Her yonuyle basarili.,10,10,10,pozitif
Güzeldi. Teşekkür ederim.,10,10,10,pozitif
Çok güzeldi.,10,10,10,pozitif
Guzeldi.,9,9,8,pozitif
"Pecete, chopstick vs. Unutulmus ve yemekler vasatti.",7,1,1,negatif
"Tom yam çorbası istedim, acılı ekşili göndermişler:/.",5,1,1,negatif
"Noddle içinde hiç sebze yoktu içindeki karidesler pişmekten yok olmuştu, lezzetli değildi. Yanında istediğim karidesin üstündeki lahanaları noodle a ekledim.",9,9,7,pozitif
"Menüyle beraber alınca karışık sebze kutunun tamamı dolu geliyordu önceden, şimdi tek aldım ve porsiyonun epey azalmış olduğunu gördüm, brokoli de çok azdı biraz üzdü :(.",10,10,8,pozitif
3 parca tavuk ve kokan lahana... Cok kotuydu uzgunum. Normalde severek soyluyordum ama bu sefer ozensizdi. Noodle degil de sadece makarna yedim sanki.,9,9,1,nötr
Sevgilimle yedim o yüzden harikaydı.,10,10,9,pozitif
"Muhtiş hizmet, lezzet, hız.",10,10,10,pozitif
Acili eksili guzel.,9,8,8,pozitif
Güzel büyük porsiyonlu noodlelar :).,10,10,10,pozitif
Her zaman harika.,10,10,10,pozitif
Her zamanki gibi sıcacık geldi ve çok lezzetliydi. Kuryeleri de çok çok kibardı.,10,10,10,pozitif
Tavuklu noodle muhtesem.,10,10,10,pozitif
Cok kotu bir noodle idi. Asci mi degisti?,8,7,3,nötr
Guzeldi.,10,10,8,pozitif
Nood daha iyi olabilirmiş. Birde fiyat konusu düzenlenebilir. Herşeyin fiyatı artıyor diye zam yaparsanız bir süre sonra o dükkana kilit vurursunuz.,10,10,8,pozitif
Sebzeli noodle içerisinde yoğun sondaj çalışmalarıyla sebze aradım.. Önceden haberdar etseydiniz manavdan alıp kendim koyardım çok sinirliyim çin konsolosluğuna gidiyorum eylem için.,10,5,7,pozitif
Sebze çorbası harikaydı :-).,9,10,9,pozitif
Harikaydı herşey.,10,10,10,pozitif
"Bana sushi yi sevdiren yer... Önceden başka yerde sushi yiyip sevmeyen varsa, şiddetle buradan denemenizi tavsiye ederim.",9,9,9,pozitif
Miso corbasi da cok guzel.,9,10,10,pozitif
"Bu kadar hızlı bir teslimat görmedim. Karidesli noodle da çok güzeldi, her zamanki gibi.",10,10,10,pozitif
Edamamelerin porsiyonu artmalı. Çok seviyoruz.,10,10,10,pozitif
Amazing food taste.,10,10,10,pozitif
Muhteşem.,10,10,10,pozitif
Fena degil.,9,7,7,pozitif
Iyi.,10,10,10,pozitif
Yani ehh.,4,4,5,nötr
Supersiniz.,10,10,10,pozitif
Tavuklu noodle cok iyi.,10,10,10,pozitif
Inanilmaz degildi.,8,8,8,pozitif
Sipariş 1 buçuk saatte geldi ve suşiyi çiğnerken zorlandım resmen.,1,7,3,negatif
"Noodle, ın içine sürekli sadece şahana koyacaksanız yazmayın içindekileri olaın bitsin. 2. Defa aynı şekilde geliyor lahana, et ve erişte başka bişey yok içerisinde.",9,1,6,nötr
Hizli ve lezzeetli. Tesekkurler.,10,10,10,pozitif
Fiyat/kalite oranı en iyi yerlerden biri. Şu ana kadar hiç bir siparişten memnun kalmadığım olmadı. Elinize sağlık.,10,10,10,pozitif
"Çok leziz, çok başarılı..",10,10,10,pozitif
Belki lezzeti iyidir ama sushi bana göre değil california roll beğendim tavsiyell ederim diğerlerini pek yiyemedik açıkçasi.,6,8,3,nötr
Cok hizli ve lezzetliydi.,10,10,10,pozitif
"Kola eksik geldi, peçete vs yoktu.",8,1,5,nötr
Bravo hersey on numara eksiksiz kusursuz.,10,10,10,pozitif
Guzel.,8,8,8,pozitif
İyiydi.,10,10,10,pozitif
Noodleı çöpe atmak zorunda kaldım çünkü tamamen kokuyordu. Yine de belki benim zevkime uygun değildir diye suç atmak istemiyorum fakat 30 tl boşuna vermiş oldum üzgünüm.,10,10,3,pozitif
İkramlar için teşekkür ederim.,10,10,10,pozitif
Sürekli buradan yemek yiyorum ve hep memnun kaldım. Ama bu sefer gelen noodle ler çok kötüydü. Yağın içinde yüzüyorlardı ve tanımlayamadığım bir koku vardı yemeğimde. Umarım bu sadece bir şansızlıktır ve bir daha olmaz.,10,8,1,nötr
Teşekkür ediyorum china stix elinize sağlık.,10,10,10,pozitif
Wonton çorbanız mükemmel.,7,10,10,pozitif
İyi ki varsınız.,10,10,10,pozitif
Çin böreği ve wonton dışında hepsi çok ama çok kötü.,1,1,1,negatif
Yediğim en iyi noodle burda.,10,10,10,pozitif
Normal seviyede.,8,8,8,pozitif
Sushi denemek için aldım damak zevkime uymadığı için pek hoşuma gitmedi ama udon da ilk defa yememe rağmen favori yemeklerimden biri oldu. Udonun lezzetinden yola çıkarsak eminimki damak zevkime uysa sushide çok güzeldir. Elinize sağlık. Sipariş vermek isteyenler gönül rahatlığıyla sipariş verebilir.,10,9,10,pozitif
Tavuklarin tadini sevmedim. Kurye cok kibardi. Cok hizli geldi.,10,10,7,pozitif
Servis inanilmaz kotuydu. Butun soslar torbanin bile disina cikmisti.,7,1,4,nötr
"This order came so fast! Plus, we like the taste. Thank you!",9,9,9,pozitif
En iyi noodle! Porsiyonları büyük doyurucu sıcacık...,9,9,9,pozitif
Herşey cok sıcak ve lezzetliydi.,10,10,10,pozitif
Bir tane soya sosu koymaniz baya uzdu sushiler de biraz kucuktu ama tat guzeldi.,10,6,10,pozitif
Hayatımda yediğim en lezzetsiz noodle ve sushiydi. Siparişim de 1. 30 saatte geldi belki sipariş lezzetli olur diye iptal etmedim ama keşke etseymişim. Verdiğim paraya çok yazık oldu. Kesinlikle tercih etmeyin.,1,1,1,negatif
Çok lezzetliydi. Teşekkürler.,10,10,10,pozitif
Noodle soğuk ve lezzetsizdi.,8,7,6,pozitif
Diyete yeni başlayanlara şiddetle tavsiye ediyorum.,10,10,10,pozitif
Balik kokuyorsunuz.,10,10,10,pozitif
"Hersey cok lezzetli, ama belki noodlelariniza biraz daha sebze ekleyebilirsiniz brokoli gibi.",10,10,10,pozitif
"Arada sipariş verdiğim biryer fakat bu sefer ki çok çok kötüydü... Ağırlaşmış tat, özensiz sarım... Yiyemedik çöp oldu... Yazık olmuş bu işletmeye.",8,8,1,nötr
"Noodleda bazı yerler yanıktı, yemek full yanık kokuyordu, yiyemedim. Hayal kırıklığı.",9,6,1,nötr
Çok cömert porsiyonlar ve çok lezzetli. Çok teşekkürler.,10,10,10,pozitif
The noodles were delicious. Vegetabkes could have been seasoned better.,10,10,8,pozitif
Hızlı ve lezzetli 10.,10,10,10,pozitif
Tek geçiyorum bu işletmeyi cok iyi lezzet kaliteli hizmet god job.,10,10,10,pozitif
Teşekkürler gayet sıcak geldi porsiyonları doyurucu.,10,10,10,pozitif
Sushinin yaninda biraz daha soya sosu getirseniz muhtesem olurdu.,8,8,9,pozitif
Hastaydım çorba çok iyi geldi elinize sağlık çok güzeldi herzamanki gibi.,10,10,10,pozitif
Çok lezzetliydi tesekkürler.,10,10,10,pozitif
Süper hızlı geldi.,10,10,10,pozitif
"En iyi etli noodle, porsiyon büyük. Teşekkürler.",10,10,10,pozitif
Gayet lezzetli olmasina ragmen her defasinda siparis cok cok yavas geliyor.,1,7,7,nötr
"Udonda brokoli yoktu, noodle da sosu cok az dı.",7,10,6,pozitif
"Sipariş verdikten 1, 5 saat sonra geldi, süre boyunca restorant aramalara cevpa vermedi.",1,8,8,nötr
